Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS2B02G545100,27,45,20,57,45,99,10,79,55,73,99,93,61,69,161,41,57,21,95,46,58,70,93,52,97,34,36,36,115,41
TraesCS2B02G598400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G611600,0,0,0,7,1,41,0,6,0,0,26,3,0,0,118,0,1,0,27,0,0,0,3,0,12,0,0,0,29,0
TraesCS2D02G225400,3,40,11,45,1,1,1,4,0,1,3,8,3,2,0,37,3,15,2,3,3,2,80,0,4,0,0,0,2,0
TraesCS2D02G225500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G298200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
TraesCS2D02G506100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G518100,13,33,20,33,7,27,9,42,34,36,48,46,24,42,42,22,32,25,26,31,35,37,40,4,52,14,10,19,41,10
TraesCS2D02G548200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G586500,0,0,0,4,0,27,0,6,0,0,19,0,0,0,45,0,1,0,7,0,0,0,7,0,14,1,1,0,10,1
TraesCS2D02G601600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G601700,0,0,0,4,2,27,0,16,9,0,10,26,0,0,35,0,0,0,61,0,0,9,2,1,17,0,0,4,74,1
TraesCS3A02G007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS3A02G019600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TraesCS3A02G196000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS3A02G298500,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,2,0,8,5,4,0,1
TraesCS3A02G331900,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TraesCS3A02G335900,0,1,3,2,1,0,3,0,0,1,0,0,1,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,1,0,1,2,0,0,1,0,0,2,1,0,1,1,0,0,2,4,0,1,0,0,2,0,0,0,1
TraesCS3B02G006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B02G026700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B02G227600,1,3,2,6,0,4,1,1,1,8,2,2,3,3,0,6,0,0,2,0,1,1,6,0,3,3,1,0,1,0
TraesCS3B02G338000,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,3
TraesCS3B02G362000,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,6,2,1,0,0
TraesCS3B02G366800,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0,0,0,0,0,0,0
TraesCS3B02G371400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D02G003600,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TraesCS3D02G027300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
TraesCS3D02G199100,3,14,2,4,5,3,1,8,0,5,5,10,2,3,12,7,0,3,6,0,0,0,20,7,12,9,8,8,5,4
TraesCS3D02G303400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D02G325400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
TraesCS3D02G328900,1,0,7,0,0,0,2,0,0,1,1,0,1,2,0,0,4,7,1,1,0,1,2,0,0,0,0,0,0,0
TraesCS3D02G333300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS4A02G041500,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0
TraesCS4A02G271100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1
TraesCS4A02G284700,28,105,69,60,0,0,26,10,5,14,2,14,19,11,0,95,27,71,0,2,9,20,103,1,3,0,0,0,1,0
TraesCS4A02G415600,2,43,16,47,1,0,2,7,4,2,0,2,6,1,0,30,0,11,0,0,0,0,65,0,0,0,0,0,1,0
TraesCS4B02G028400,1,3,2,2,0,0,5,0,1,1,1,0,0,2,0,5,3,4,0,1,1,0,6,0,0,0,0,0,0,0
TraesCS4B02G043000,1,4,2,5,21,6,1,0,3,7,5,4,5,10,3,6,5,3,3,3,2,1,8,18,1,14,19,37,3,34
TraesCS4B02G262500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G316400,0,27,5,35,0,0,0,0,3,2,1,2,2,0,0,16,2,3,0,1,0,1,64,0,0,0,1,0,0,0
TraesCS4D02G040300,1,9,2,3,7,1,2,1,2,5,1,5,1,2,1,3,8,3,4,2,2,0,5,9,0,7,7,11,2,11
TraesCS4D02G262600,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
TraesCS4D02G313000,0,17,9,28,0,0,0,1,0,4,2,2,1,1,0,20,2,2,0,2,0,0,49,0,0,0,0,0,1,0
TraesCS5A02G015800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G060000,0,3,4,4,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,0,0,0,5,0,0,0,0,0,0,0
TraesCS5A02G220400,2,8,10,6,75,9,1,4,11,14,6,9,17,15,25,16,19,3,9,16,16,22,9,68,3,37,38,55,22,81
TraesCS5A02G220500,0,0,6,2,1,19,0,1,0,1,8,3,0,0,24,0,0,1,14,3,0,3,3,2,2,0,0,1,8,1
TraesCS5A02G483100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G014100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G067300,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G219500,15,21,11,8,24,7,14,6,16,26,4,11,35,21,20,13,25,13,8,26,25,34,14,13,3,17,14,17,13,19
TraesCS5B02G219600,1,0,5,2,2,16,0,3,0,1,1,2,1,1,23,1,3,2,11,1,1,1,0,12,1,9,12,11,6,6
TraesCS5B02G496200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TraesCS5D02G021800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TraesCS5D02G071500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5D02G228400,37,33,61,17,0,0,44,4,23,13,4,4,29,25,1,43,23,44,1,20,19,30,35,0,2,5,1,2,1,0
TraesCS5D02G228500,0,0,2,6,0,14,0,0,0,0,8,4,4,0,16,3,1,1,2,0,0,1,9,0,6,0,0,2,7,0
TraesCS5D02G496600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G008800,0,30,3,34,3,2,0,0,0,0,2,5,0,1,0,28,0,2,2,0,2,0,66,10,1,5,3,2,1,5
TraesCS6A02G009400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G039800,0,0,2,0,3,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4
TraesCS6A02G271500,4,1,3,3,1,1,1,0,0,0,1,2,1,0,0,1,1,5,0,0,0,0,4,2,1,2,0,0,0,3
TraesCS6A02G329600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329900,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0
TraesCS6A02G330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G330100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G014700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G015400,1,47,7,34,4,1,1,4,2,4,4,7,6,4,1,46,4,4,4,5,2,1,67,3,2,4,6,4,5,10
TraesCS6B02G054800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G298700,2,0,3,3,0,0,3,1,0,1,1,1,1,0,0,1,0,5,0,0,1,1,2,0,2,1,0,1,0,1
TraesCS6B02G360400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G360500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G360600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G360700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G360800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS6B02G360900,0,2,0,1,5,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0,1,0,1,0,0,1,5,4,0,6
TraesCS6D02G009800,0,25,3,30,3,1,0,1,1,2,2,2,3,1,1,22,0,8,0,1,4,1,51,1,1,4,2,1,3,4
TraesCS6D02G012400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G045700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G251700,12,11,17,9,5,1,7,0,5,6,4,7,2,3,3,6,3,11,3,2,3,5,15,6,2,10,7,2,3,6
TraesCS6D02G308500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G308600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G308700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G308800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G308900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G309000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G169100,4,58,65,56,2,1,11,10,2,2,6,9,6,5,3,75,9,38,0,2,3,4,129,1,1,7,0,1,4,1
TraesCS7A02G209000,6,8,11,2,17,4,7,4,2,4,0,1,8,3,1,4,10,11,2,7,5,5,9,9,2,7,12,9,3,15
TraesCS7A02G300400,0,0,0,1,0,210,0,13,0,0,66,27,0,1,437,0,0,1,67,0,0,0,6,0,49,0,1,0,84,0
TraesCS7A02G409900,1,8,4,12,32,37,4,9,9,11,26,21,14,19,64,5,14,2,36,8,6,11,17,21,26,27,27,26,37,29
TraesCS7A02G477400,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS7A02G477500,2,13,0,11,0,2,0,2,7,18,7,0,6,6,4,23,5,0,1,11,4,15,16,0,5,4,2,5,6,4
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G526900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G007400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G007600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G073900,1,75,50,84,2,0,5,5,2,1,0,6,4,3,1,39,2,51,2,5,2,1,138,0,8,0,2,0,0,1
TraesCS7B02G116100,0,0,1,0,2,0,0,1,0,0,2,0,1,0,2,1,3,2,0,0,0,0,1,2,1,1,7,9,1,5
TraesCS7B02G201300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TraesCS7B02G309300,0,10,5,8,105,26,5,2,1,27,20,9,17,23,50,3,18,9,27,7,9,9,7,102,9,102,86,102,26,102
TraesCS7B02G379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G379300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G388500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G393200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G104700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G104900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G170200,5,96,77,120,1,0,7,5,0,10,5,10,4,4,1,96,8,58,4,7,2,4,187,3,8,5,0,2,4,1
TraesCS7D02G211200,1,0,12,1,9,4,3,2,2,3,2,0,2,6,6,3,4,7,5,0,1,1,6,7,0,2,5,7,2,6
TraesCS7D02G296100,0,0,0,0,0,85,0,7,0,0,42,7,0,0,136,0,0,0,24,0,0,0,0,0,28,0,0,0,30,0
TraesCS7D02G403100,6,13,26,8,105,59,9,13,20,43,49,16,22,36,67,5,31,18,42,18,23,21,21,96,47,79,67,96,54,108
TraesCS7D02G464900,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G472200,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TraesCS7D02G476400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G271000_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4D02G015400_M,150,802,367,465,4,2,93,49,31,108,11,70,97,115,0,716,142,422,11,24,30,24,812,3,10,9,10,2,12,4
