Gene stable ID,Interpro ID
TraesCS4B02G316400,IPR000620
TraesCS4A02G464200,IPR000620
TraesCS6A02G329600,IPR000620
TraesCS6B02G298700,IPR000620
TraesCS4B02G086600,IPR000620
TraesCS6D02G251700,IPR000620
TraesCS2A02G231600,IPR000620
TraesCS1A02G164700,IPR000620
TraesCS5B02G496200,IPR000620
TraesCS3D02G488300,IPR000620
TraesCS7B02G309300,IPR000620
TraesCS3A02G007100,IPR000620
TraesCS7D02G104600,IPR000620
TraesCS6D02G009900,IPR000620
TraesCS5D02G228400,IPR000620
TraesCS1B02G267300,IPR000620
TraesCS6A02G039800,IPR000620
TraesCS7A02G024800,IPR000620
TraesCS7A02G020400,IPR000620
TraesCS6D02G308500,IPR000620
TraesCS5B02G219600,IPR000620
TraesCS4D02G262600,IPR000620
TraesCS3B02G006900,IPR000620
TraesCS6D02G308700,IPR000620
TraesCS7A02G169100,IPR000620
TraesCS4B02G028400,IPR000620
TraesCS2B02G255800,IPR000620
TraesCS6B02G054800,IPR000620
TraesCS1D02G019300,IPR000620
TraesCS4B02G262500,IPR000620
TraesCS7B02G073900,IPR000620
TraesCS7A02G087800,IPR000620
TraesCS7D02G104900,IPR000620
TraesCS1D02G256100,IPR000620
TraesCS7B02G007400,IPR000620
TraesCS7A02G526900,IPR000620
TraesCS3A02G070300,IPR000620
TraesCS2D02G548100,IPR000620
TraesCS7D02G476400,IPR000620
TraesCS2D02G506100,IPR000620
TraesCS7D02G211200,IPR000620
TraesCS6B02G360500,IPR000620
TraesCS6B02G015400,IPR000620
TraesCS7D02G104500,IPR000620
TraesCS6A02G271500,IPR000620
TraesCS5D02G032500,IPR000620
TraesCS7A02G024900,IPR000620
TraesCS7D02G082900,IPR000620
TraesCS2A02G219600,IPR000620
TraesCS7D02G449600,IPR000620
TraesCS5B02G014100,IPR000620
TraesCS2A02G300300,IPR000620
TraesCS6D02G045700,IPR000620
TraesCS6B02G015700,IPR000620
TraesCS7D02G403100,IPR000620
TraesCS3A02G339800,IPR000620
TraesCS2B02G598500,IPR000620
TraesCS3A02G335900,IPR000620
TraesCS1B02G181600,IPR000620
TraesCS2B02G598400,IPR000620
TraesCS1A02G020200,IPR000620
TraesCS2A02G219700,IPR000620
TraesCS2D02G601700,IPR000620
TraesCS6A02G329700,IPR000620
TraesCS1D02G104500,IPR000620
TraesCS5A02G483000,IPR000620
TraesCS4D02G313000,IPR000620
TraesCS2A02G584600,IPR000620
TraesCS4A02G271100,IPR000620
TraesCS6B02G014700,IPR000620
TraesCS4B02G351800,IPR000620
TraesCS5D02G496600,IPR000620
TraesCS3A02G331900,IPR000620
TraesCS4A02G041500,IPR000620
TraesCS3B02G366800,IPR000620
TraesCS3B02G227600,IPR000620
TraesCS2A02G575700,IPR000620
TraesCS7B02G393200,IPR000620
TraesCS5A02G483100,IPR000620
TraesCS6A02G008800,IPR000620
TraesCS6D02G012400,IPR000620
TraesCS7B02G379400,IPR000620
TraesCS3D02G027300,IPR000620
TraesCS7D02G472200,IPR000620
TraesCS3B02G011600,IPR000620
TraesCS6A02G330100,IPR000620
TraesCS1B02G041700,IPR000620
TraesCS7B02G379300,IPR000620
TraesCS6D02G009800,IPR000620
TraesCS7B02G116100,IPR000620
TraesCS7A02G109600,IPR000620
TraesCS3B02G026700,IPR000620
TraesCS1B02G049500,IPR000620
TraesCS2D02G225500,IPR000620
TraesCS1A02G095600,IPR000620
TraesCS6A02G009400,IPR000620
TraesCS3B02G084400,IPR000620
TraesCS5D02G021800,IPR000620
TraesCS5B02G067300,IPR000620
TraesCS7B02G007300,IPR000620
TraesCS1B02G321500,IPR000620
TraesCS2D02G548200,IPR000620
TraesCS4A02G415600,IPR000620
TraesCS7A02G461400,IPR000620
TraesCS6D02G308800,IPR000620
TraesCS7D02G296100,IPR000620
TraesCS1D02G161800,IPR000620
TraesCS4D02G164600,IPR000620
TraesCS7D02G464900,IPR000620
TraesCS5A02G520400,IPR000620
TraesCS2B02G533700,IPR000620
TraesCS3B02G362000,IPR000620
TraesCS7A02G477400,IPR000620
TraesCS6D02G309000,IPR000620
TraesCS7D02G016700,IPR000620
TraesCS6A02G330000,IPR000620
TraesCS2B02G316600,IPR000620
TraesCS5D02G228500,IPR000620
TraesCS2A02G584400,IPR000620
TraesCS7B02G201300,IPR000620
TraesCS2B02G245100,IPR000620
TraesCS2D02G601600,IPR000620
TraesCS5D02G482100,IPR000620
TraesCS5B02G219500,IPR000620
TraesCS7D02G170200,IPR000620
TraesCS5A02G520500,IPR000620
TraesCS5A02G015800,IPR000620
TraesCS4D02G346500,IPR000620
