A,B,D,synteny,Expressed
TraesCS2A01G313400,TraesCS2B01G332200,TraesCS2D01G311900,syntenic,TRUE
TraesCS2A01G285200,TraesCS2B01G302300,TraesCS2D01G283800,non-syntenic,TRUE
TraesCS2A01G266900,TraesCS2B01G275500,TraesCS2D01G257100,syntenic,TRUE
TraesCS2A01G093300,TraesCS2B01G107800,TraesCS2D01G092300,syntenic,FALSE
TraesCS2A01G060100,TraesCS2B01G073700,TraesCS2D01G059100,syntenic,FALSE
TraesCS2A01G077900,TraesCS2B01G092800,TraesCS2D01G075900,syntenic,FALSE
TraesCS1A01G105100,TraesCS1B01G116600,TraesCS1D01G097300,syntenic,TRUE
TraesCS6A01G204700,TraesCS6B01G225900,TraesCS6D01G189900,syntenic,TRUE
TraesCS5A01G383500,TraesCS5B01G388100,TraesCS5D01G392800,syntenic,TRUE
TraesCS5A01G531100,TraesCS4B01G362900,TraesCS4D01G356100,syntenic,TRUE
TraesCS4A01G222300,TraesCS4B01G094300,TraesCS4D01G091100,syntenic,TRUE
TraesCS2A01G362300,TraesCS2B01G380100,TraesCS2D01G359800,syntenic,TRUE
TraesCS4A01G223100,TraesCS4B01G092800,TraesCS4D01G089500,syntenic,TRUE
TraesCS3A01G095700,TraesCS3B01G111400,TraesCS3D01G096100,syntenic,FALSE
TraesCS2A01G155000,TraesCS2B01G180100,TraesCS2D01G160300,syntenic,TRUE
TraesCS5A01G337300,TraesCS2B01G232200,TraesCS6D01G272100,non-syntenic,FALSE
TraesCS1A01G269700,TraesCS1B01G280200,TraesCS1D01G269800,syntenic,TRUE
TraesCS3A01G489900,TraesCS3B01G547700,TraesCS3D01G495900,non-syntenic,TRUE
TraesCS4A01G449900,TraesCS2B01G065700,TraesCS7D01G034600,non-syntenic,TRUE
TraesCS1A01G234500,TraesCS3B01G573200,TraesCS4D01G157400,non-syntenic,TRUE
TraesCS3A01G491600,TraesCS3B01G552600,TraesCS3D01G497600,syntenic,TRUE
TraesCS3A01G047000,TraesCS3B01G035700,TraesCS3D01G032800,syntenic,FALSE
TraesCS2A01G460600,TraesCS2B01G482300,TraesCS2D01G460800,syntenic,TRUE
TraesCS2A01G143900,TraesCS2B01G168800,TraesCS2D01G147800,syntenic,TRUE
TraesCS4A01G450600,TraesCS2B01G597600,TraesCS2D01G593200,non-syntenic,TRUE
TraesCS6A01G061400,TraesCS6B01G081700,TraesCS6D01G063200,syntenic,TRUE
TraesCS6A01G157800,TraesCS6B01G185600,TraesCS6D01G147200,syntenic,TRUE
TraesCS2A01G288600,TraesCS2B01G305400,TraesCS2D01G286800,syntenic,TRUE
TraesCS7A01G480800,TraesCS7B01G382900,TraesCS7D01G467600,syntenic,FALSE
TraesCS7A01G313400,TraesCS7B01G213900,TraesCS7D01G309900,syntenic,TRUE
TraesCS2A01G314700,TraesCS2B01G332700,TraesCS2D01G312900,syntenic,TRUE
TraesCS5A01G187500,TraesCS5B01G196300,TraesCS5D01G203500,syntenic,TRUE
TraesCS1A01G408100,TraesCS1B01G437000,TraesCS1D01G415100,syntenic,TRUE
TraesCS6A01G109300,TraesCS6B01G137800,TraesCS6D01G097700,syntenic,TRUE
TraesCS5A01G292400,TraesCS5B01G291800,TraesCS5D01G299700,syntenic,TRUE
TraesCS3A01G261100,TraesCS3B01G294000,TraesCS3D01G261200,syntenic,TRUE
TraesCS7A01G563800,TraesCS7B01G499100,TraesCS7D01G547200,syntenic,FALSE
TraesCS7A01G130200,TraesCS7B01G030500,TraesCS7D01G129600,syntenic,FALSE
TraesCS5A01G104400,TraesCS5B01G108700,TraesCS5D01G116500,syntenic,TRUE
TraesCS4A01G251400,TraesCS4B01G063400,TraesCS4D01G062400,syntenic,FALSE
TraesCS2A01G300900,TraesCS2B01G317100,TraesCS2D01G299600,syntenic,TRUE
TraesCS7A01G255900,TraesCS7B01G152400,TraesCS7D01G254300,syntenic,TRUE
TraesCS5A01G421500,TraesCS5B01G423100,TraesCS5D01G429800,syntenic,TRUE
TraesCS3A01G287100,TraesCS3B01G321200,TraesCS3D01G286700,syntenic,TRUE
TraesCS4A01G269000,TraesCS4B01G045200,TraesCS4D01G045100,syntenic,TRUE
TraesCS1A01G036000,TraesCS1B01G046400,TraesCS1D01G037600,syntenic,TRUE
TraesCS2A01G434500,TraesCS2B01G455600,TraesCS2D01G432300,syntenic,TRUE
TraesCS1A01G247500,TraesCS1B01G258100,TraesCS1D01G246700,syntenic,TRUE
TraesCS2A01G457200,TraesCS6B01G321800,TraesCS2D01G458000,non-syntenic,TRUE
TraesCS5A01G003000,TraesCS5B01G059700,TraesCS5D01G003700,non-syntenic,FALSE
TraesCS3A01G267600,TraesCS3B01G301000,TraesCS3D01G267800,syntenic,TRUE
TraesCS6A01G259300,TraesCS6B01G286600,TraesCS6D01G240400,syntenic,TRUE
TraesCS4A01G225300,TraesCS4B01G090900,TraesCS4D01G088000,syntenic,TRUE
TraesCS5A01G091500,TraesCS5B01G098000,TraesCS5D01G103600,syntenic,TRUE
TraesCS7A01G475100,TraesCS7B01G376800,TraesCS7D01G462900,syntenic,TRUE
TraesCS7A01G422900,TraesCS7B01G323300,TraesCS7D01G415300,syntenic,TRUE
TraesCS7A01G310400,TraesCS1B01G153900,TraesCS5D01G395100,non-syntenic,TRUE
TraesCS6A01G408600,TraesCS6B01G454800,TraesCS6D01G392500,syntenic,TRUE
TraesCS4A01G200300,TraesCS4B01G115000,TraesCS4D01G112600,syntenic,TRUE
TraesCS5A01G492100,TraesCS4B01G319800,TraesCS4D01G316400,syntenic,TRUE
TraesCS2A01G263600,TraesCS2B01G278600,TraesCS2D01G260400,syntenic,TRUE
TraesCS4A01G430800,TraesCS3B01G381800,TraesCS3D01G351800,non-syntenic,TRUE
TraesCS5A01G001900,TraesCS5B01G002300,TraesCS5D01G002300,syntenic,TRUE
TraesCS3A01G421100,TraesCS3B01G456900,TraesCS3D01G416800,syntenic,TRUE
TraesCS3A01G356200,TraesCS3B01G389100,TraesCS3D01G350300,syntenic,TRUE
TraesCS4A01G334300,TraesCS5B01G551000,TraesCS5D01G537800,syntenic,TRUE
TraesCS3A01G175400,TraesCS3B01G205100,TraesCS3D01G180800,syntenic,TRUE
TraesCS2A01G388200,TraesCS2B01G406200,TraesCS2D01G386000,syntenic,TRUE
TraesCS3A01G045700,TraesCS3B01G038400,TraesCS3D01G035600,syntenic,TRUE
TraesCS2A01G504800,TraesCS2B01G533000,TraesCS2D01G505500,syntenic,TRUE
TraesCS2A01G437400,TraesCS2B01G457900,TraesCS2D01G434800,syntenic,FALSE
TraesCS1A01G065100,TraesCS1B01G083200,TraesCS1D01G065800,syntenic,FALSE
TraesCS4A01G127300,TraesCS4B01G177500,TraesCS4D01G179200,syntenic,TRUE
TraesCS6A01G353300,TraesCS5B01G050100,TraesCS6D01G335700,non-syntenic,TRUE
TraesCS6A01G237200,TraesCS6B01G265700,TraesCS6D01G219800,syntenic,TRUE
TraesCS3A01G186900,TraesCS3B01G216300,TraesCS3D01G190700,syntenic,TRUE
TraesCS3A01G003500,TraesCS3B01G009000,TraesCS3D01G005800,non-syntenic,TRUE
TraesCS7A01G198400,TraesCS7B01G104100,TraesCS7D01G200100,syntenic,TRUE
TraesCS7A01G134900,TraesCS7B01G036300,TraesCS7D01G134500,syntenic,TRUE
TraesCS2A01G196800,TraesCS2B01G224400,TraesCS2D01G204800,syntenic,TRUE
TraesCS3A01G082100,TraesCS3B01G097200,TraesCS3D01G082300,syntenic,TRUE
TraesCS6A01G287500,TraesCS6B01G316800,TraesCS6D01G268200,syntenic,TRUE
TraesCS7A01G180600,TraesCS7B01G085600,TraesCS7D01G182400,syntenic,TRUE
TraesCS3A01G078300,TraesCS3B01G093200,TraesCS3D01G078800,syntenic,TRUE
TraesCS1A01G446000,TraesCS1B01G480700,TraesCS1D01G454700,non-syntenic,TRUE
TraesCS3A01G353100,TraesCS3B01G385800,TraesCS3D01G347200,syntenic,TRUE
TraesCS7A01G291600,TraesCS7B01G184100,TraesCS7D01G284400,non-syntenic,TRUE
TraesCS2A01G499300,TraesCS2B01G527500,TraesCS2D01G499400,syntenic,FALSE
TraesCS5A01G338000,TraesCS5B01G336800,TraesCS5D01G342500,syntenic,TRUE
TraesCS2A01G394800,TraesCS4B01G301000,TraesCS6D01G291200,non-syntenic,TRUE
TraesCS5A01G519800,TraesCS4B01G351000,TraesCS4D01G345900,non-syntenic,TRUE
TraesCS3A01G421800,TraesCS2B01G587700,TraesCS2D01G558400,non-syntenic,TRUE
TraesCS2A01G275300,TraesCS2B01G292900,TraesCS2D01G274300,syntenic,TRUE
TraesCS5A01G040400,TraesCS5B01G041400,TraesCS5D01G047300,syntenic,TRUE
TraesCS2A01G063600,TraesCS2B01G076300,TraesCS2D01G061800,syntenic,TRUE
TraesCS5A01G041900,TraesCS5B01G044400,TraesCS5D01G049600,syntenic,TRUE
TraesCS2A01G261300,TraesCS2B01G280900,TraesCS2D01G262600,syntenic,TRUE
TraesCS7A01G149400,TraesCS7B01G053100,TraesCS7D01G151100,syntenic,TRUE
TraesCS5A01G280600,TraesCS5B01G279600,TraesCS5D01G287200,syntenic,FALSE
TraesCS4A01G058500,TraesCS4B01G246200,TraesCS4D01G245600,syntenic,FALSE
TraesCS6A01G024500,TraesCS6B01G033100,TraesCS6D01G027800,syntenic,TRUE
TraesCS1A01G393800,TraesCS1B01G423100,TraesCS1D01G402700,syntenic,TRUE
TraesCS1A01G204800,TraesCS1B01G218400,TraesCS1D01G208100,syntenic,TRUE
TraesCS4A01G367600,TraesCS5B01G505000,TraesCS5D01G505800,syntenic,TRUE
TraesCS7A01G532800,TraesCS7B01G449600,TraesCS7D01G519500,syntenic,TRUE
TraesCS7A01G501900,TraesCS4B01G329200,TraesCS4D01G326000,syntenic,TRUE
TraesCS2A01G205200,TraesCS2B01G232600,TraesCS2D01G210900,syntenic,TRUE
TraesCS7A01G532400,TraesCS7B01G449700,TraesCS7D01G519600,syntenic,TRUE
TraesCS6A01G000700,TraesCS6B01G005400,TraesCS6D01G004800,syntenic,TRUE
TraesCS4A01G281800,TraesCS4B01G031200,TraesCS4D01G029000,syntenic,TRUE
TraesCS6A01G385200,TraesCS6B01G424200,TraesCS6D01G370000,syntenic,TRUE
TraesCS6A01G039100,TraesCS6B01G054000,TraesCS6D01G044800,syntenic,TRUE
TraesCS6A01G270200,TraesCS6B01G297500,TraesCS6D01G244800,syntenic,TRUE
TraesCS4A01G210000,TraesCS4B01G113500,TraesCS4D01G111000,syntenic,TRUE
TraesCS7A01G499500,TraesCS7B01G406400,TraesCS7D01G486300,syntenic,TRUE
TraesCS4A01G146700,TraesCS4B01G161100,TraesCS4D01G156700,non-syntenic,TRUE
TraesCS2A01G455700,TraesCS2B01G477700,TraesCS2D01G456000,syntenic,TRUE
TraesCS4A01G302400,TraesCS4B01G011400,TraesCS4D01G009500,syntenic,TRUE
TraesCS7A01G202600,TraesCS7B01G109600,TraesCS7D01G205900,syntenic,TRUE
TraesCS4A01G046300,TraesCS4B01G259900,TraesCS4D01G258600,syntenic,TRUE
TraesCS1A01G114100,TraesCS1B01G134400,TraesCS1D01G115800,syntenic,TRUE
TraesCS1A01G051700,TraesCS1B01G068500,TraesCS1D01G053700,syntenic,TRUE
TraesCS3A01G011000,TraesCS3B01G014000,TraesCS3D01G000700,syntenic,TRUE
TraesCS2A01G301400,TraesCS2B01G317500,TraesCS2D01G300000,syntenic,TRUE
TraesCS2A01G162400,TraesCS2B01G187900,TraesCS2D01G169100,syntenic,FALSE
TraesCS5A01G305900,TraesCS5B01G306300,TraesCS5D01G312900,syntenic,TRUE
TraesCS7A01G213800,TraesCS7B01G121100,TraesCS7D01G215900,syntenic,TRUE
TraesCS2A01G401700,TraesCS2B01G419800,TraesCS2D01G399100,syntenic,TRUE
TraesCS4A01G302100,TraesCS4B01G012200,TraesCS4D01G010300,syntenic,TRUE
TraesCS1A01G429000,TraesCS1B01G463800,TraesCS1D01G438500,syntenic,FALSE
TraesCS3A01G459900,TraesCS3B01G499600,TraesCS3D01G452700,non-syntenic,TRUE
TraesCS4A01G237700,TraesCS4B01G077400,TraesCS4D01G075800,syntenic,TRUE
TraesCS5A01G540700,TraesCS4B01G373500,TraesCS4D01G363800,syntenic,TRUE
TraesCS5A01G172900,TraesCS5B01G170300,TraesCS5D01G177400,syntenic,TRUE
TraesCS3A01G318200,TraesCS3B01G347700,TraesCS3D01G313000,syntenic,TRUE
TraesCS2A01G392500,TraesCS2B01G410700,TraesCS2D01G390600,syntenic,TRUE
TraesCS2A01G523000,TraesCS2B01G552700,TraesCS2D01G524900,syntenic,TRUE
TraesCS2A01G100700,TraesCS2B01G117900,TraesCS2D01G100200,syntenic,TRUE
TraesCS3A01G352300,TraesCS3B01G384900,TraesCS3D01G346300,syntenic,TRUE
TraesCS1A01G202500,TraesCS1B01G216600,TraesCS1D01G205800,syntenic,FALSE
TraesCS7A01G385000,TraesCS7B01G288000,TraesCS7D01G381600,syntenic,TRUE
TraesCS5A01G428700,TraesCS5B01G430700,TraesCS5D01G436800,syntenic,TRUE
TraesCS4A01G291200,TraesCS4B01G023000,TraesCS4D01G020600,syntenic,TRUE
TraesCS2A01G215700,TraesCS2B01G240700,TraesCS2D01G221300,syntenic,TRUE
TraesCS6A01G179700,TraesCS6B01G205600,TraesCS6D01G165300,syntenic,TRUE
TraesCS3A01G104100,TraesCS3B01G122500,TraesCS3D01G106300,syntenic,TRUE
TraesCS1A01G277800,TraesCS1B01G286700,TraesCS1D01G277000,syntenic,TRUE
TraesCS6A01G096400,TraesCS6B01G124800,TraesCS6D01G087500,syntenic,TRUE
TraesCS6A01G269300,TraesCS6B01G296600,TraesCS6D01G245600,syntenic,TRUE
TraesCS1A01G269800,TraesCS1B01G280300,TraesCS1D01G269900,syntenic,TRUE
TraesCS2A01G533300,TraesCS2B01G562900,TraesCS2D01G535200,syntenic,FALSE
TraesCS5A01G112100,TraesCS5B01G119200,TraesCS5D01G128100,syntenic,TRUE
TraesCS3A01G226300,TraesCS3B01G258200,TraesCS3D01G224300,syntenic,TRUE
TraesCS7A01G463600,TraesCS7B01G364200,TraesCS7D01G451400,syntenic,TRUE
TraesCS1A01G355000,TraesCS1B01G366700,TraesCS1D01G355500,syntenic,TRUE
TraesCS6A01G068500,TraesCS6B01G092400,TraesCS6D01G066200,syntenic,TRUE
TraesCS5A01G525800,TraesCS4B01G356400,TraesCS4D01G350100,syntenic,TRUE
TraesCS3A01G145800,TraesCS3B01G172800,TraesCS3D01G154600,syntenic,FALSE
TraesCS1A01G007600,TraesCS1B01G011200,TraesCS1D01G000900,syntenic,TRUE
TraesCS5A01G251300,TraesCS5B01G249400,TraesCS5D01G259200,syntenic,TRUE
TraesCS2A01G349900,TraesCS2B01G368300,TraesCS2D01G348300,syntenic,TRUE
TraesCS7A01G340100,TraesCS7B01G251800,TraesCS7D01G347800,syntenic,TRUE
TraesCS5A01G250800,TraesCS5B01G248800,TraesCS5D01G258500,syntenic,TRUE
TraesCS6A01G215300,TraesCS6B01G244900,TraesCS6D01G197600,syntenic,TRUE
TraesCS7A01G323000,TraesCS7B01G223900,TraesCS7D01G319600,syntenic,TRUE
TraesCS7A01G226100,TraesCS7B01G193500,TraesCS7D01G228400,syntenic,TRUE
TraesCS7A01G551400,TraesCS7B01G475300,TraesCS7D01G537300,syntenic,TRUE
TraesCS6A01G174800,TraesCS6B01G204300,TraesCS6D01G163900,syntenic,FALSE
TraesCS5A01G348300,TraesCS5B01G349500,TraesCS5D01G354500,syntenic,FALSE
TraesCS3A01G397300,TraesCS3B01G429200,TraesCS3D01G391100,syntenic,TRUE
TraesCS3A01G029400,TraesCS3B01G028000,TraesCS3D01G016200,syntenic,TRUE
TraesCS1A01G427800,TraesCS1B01G423800,TraesCS1D01G437400,non-syntenic,TRUE
TraesCS3A01G440300,TraesCS2B01G604500,TraesCS2D01G597700,non-syntenic,TRUE
TraesCS2A01G095000,TraesCS2B01G110100,TraesCS2D01G093400,syntenic,TRUE
TraesCS3A01G003000,TraesCS3B01G009700,TraesCS3D01G006600,syntenic,TRUE
TraesCS1A01G242700,TraesCS1B01G254200,TraesCS1D01G242700,syntenic,FALSE
TraesCS2A01G410300,TraesCS2B01G428900,TraesCS2D01G407600,syntenic,TRUE
TraesCS1A01G438100,TraesCS1B01G473100,TraesCS1D01G447200,syntenic,TRUE
TraesCS1A01G094100,TraesCS1B01G122200,TraesCS1D01G102700,syntenic,TRUE
TraesCS1A01G338900,TraesCS1B01G351300,TraesCS1D01G341000,syntenic,TRUE
TraesCS4A01G440000,TraesCS7B01G243800,TraesCS2D01G451600,non-syntenic,TRUE
TraesCS4A01G196700,TraesCS4B01G118600,TraesCS4D01G116300,non-syntenic,FALSE
TraesCS5A01G231700,TraesCS6B01G471200,TraesCS3D01G202900,non-syntenic,TRUE
TraesCS3A01G539500,TraesCS3B01G605300,TraesCS2D01G081700,non-syntenic,TRUE
TraesCS1A01G402200,TraesCS1B01G431300,TraesCS1D01G409800,syntenic,TRUE
TraesCS1A01G238400,TraesCS4B01G161400,TraesCS7D01G366100,non-syntenic,TRUE
TraesCS7A01G366900,TraesCS7B01G261100,TraesCS7D01G355900,syntenic,TRUE
TraesCS7A01G443200,TraesCS7B01G342000,TraesCS7D01G432400,syntenic,TRUE
TraesCS7A01G282300,TraesCS1B01G142900,TraesCS3D01G204700,non-syntenic,TRUE
TraesCS1A01G443000,TraesCS1B01G477100,TraesCS1D01G451000,syntenic,TRUE
TraesCS2A01G547400,TraesCS2B01G578100,TraesCS2D01G548400,syntenic,TRUE
TraesCS7A01G459100,TraesCS7B01G359500,TraesCS7D01G447000,syntenic,TRUE
TraesCS1A01G428800,TraesCS1B01G463600,TraesCS1D01G438300,syntenic,TRUE
TraesCS1A01G286900,TraesCS1B01G296300,TraesCS1D01G285800,syntenic,TRUE
TraesCS4A01G188800,TraesCS4B01G128300,TraesCS4D01G124300,syntenic,TRUE
TraesCS3A01G050400,TraesCS3B01G059200,TraesCS3D01G049900,syntenic,TRUE
TraesCS1A01G220000,TraesCS1B01G233300,TraesCS1D01G221500,syntenic,TRUE
TraesCS5A01G211400,TraesCS5B01G212400,TraesCS5D01G222400,syntenic,TRUE
TraesCS5A01G270200,TraesCS5B01G270700,TraesCS5D01G278300,syntenic,FALSE
TraesCS4A01G233200,TraesCS4B01G082500,TraesCS4D01G081000,syntenic,TRUE
TraesCS6A01G039700,TraesCS6B01G054700,TraesCS6D01G045600,syntenic,TRUE
TraesCS4A01G332000,TraesCS5B01G546900,TraesCS5D01G540700,syntenic,TRUE
TraesCS5A01G251500,TraesCS5B01G249600,TraesCS5D01G259400,syntenic,TRUE
TraesCS1A01G022400,TraesCS1B01G026200,TraesCS1D01G022300,syntenic,FALSE
TraesCS4A01G121900,TraesCS4B01G181900,TraesCS4D01G184000,syntenic,TRUE
TraesCS5A01G296000,TraesCS2B01G462200,TraesCS2D01G439800,syntenic,TRUE
TraesCS5A01G024700,TraesCS5B01G022400,TraesCS5D01G031000,syntenic,TRUE
TraesCS3A01G290500,TraesCS3B01G325300,TraesCS3D01G290400,syntenic,TRUE
TraesCS6A01G031300,TraesCS6B01G043900,TraesCS6D01G035500,syntenic,TRUE
TraesCS5A01G432200,TraesCS5B01G434300,TraesCS5D01G440200,syntenic,TRUE
TraesCS6A01G001200,TraesCS6B01G005800,TraesCS6D01G004500,syntenic,TRUE
TraesCS2A01G192300,TraesCS2B01G214200,TraesCS2D01G195200,syntenic,TRUE
TraesCS7A01G474100,TraesCS7B01G375500,TraesCS7D01G461100,syntenic,FALSE
TraesCS3A01G138800,TraesCS3B01G156400,TraesCS3D01G139100,syntenic,FALSE
TraesCS5A01G355400,TraesCS5B01G357800,TraesCS5D01G363700,syntenic,TRUE
TraesCS1A01G332000,TraesCS1B01G345700,TraesCS1D01G334700,syntenic,TRUE
TraesCS5A01G449200,TraesCS5B01G456700,TraesCS5D01G455700,syntenic,TRUE
TraesCS5A01G166600,TraesCS5B01G163800,TraesCS5D01G171000,syntenic,TRUE
TraesCS6A01G241700,TraesCS6B01G282700,TraesCS6D01G223700,syntenic,TRUE
TraesCS1A01G401400,TraesCS1B01G429800,TraesCS1D01G408800,syntenic,TRUE
TraesCS5A01G362100,TraesCS5B01G364900,TraesCS5D01G371100,syntenic,TRUE
TraesCS3A01G180700,TraesCS3B01G210400,TraesCS3D01G185600,syntenic,TRUE
TraesCS4A01G257000,TraesCS4B01G057500,TraesCS4D01G057700,syntenic,TRUE
TraesCS6A01G299900,TraesCS6B01G329500,TraesCS6D01G279700,syntenic,TRUE
TraesCS3A01G314000,TraesCS3B01G157900,TraesCS3D01G140400,syntenic,TRUE
TraesCS6A01G011700,TraesCS6B01G017900,TraesCS6D01G014600,syntenic,TRUE
TraesCS4A01G188500,TraesCS4B01G127800,TraesCS4D01G124900,syntenic,TRUE
TraesCS6A01G298700,TraesCS6B01G328100,TraesCS6D01G278400,syntenic,TRUE
TraesCS2A01G525900,TraesCS2B01G556000,TraesCS2D01G528700,syntenic,TRUE
TraesCS2A01G005600,TraesCS2B01G016400,TraesCS2D01G006100,syntenic,TRUE
TraesCS2A01G306000,TraesCS2B01G322700,TraesCS2D01G304400,syntenic,TRUE
TraesCS2A01G443400,TraesCS2B01G464500,TraesCS2D01G442600,syntenic,TRUE
TraesCS2A01G524800,TraesCS2B01G554800,TraesCS2D01G527700,syntenic,TRUE
TraesCS3A01G495200,TraesCS3B01G557000,TraesCS3D01G502300,syntenic,TRUE
TraesCS3A01G011600,TraesCS3B01G014600,TraesCS3D01G000100,syntenic,TRUE
TraesCS6A01G025300,TraesCS6B01G036100,TraesCS6D01G029000,syntenic,TRUE
TraesCS2A01G534000,TraesCS2B01G564300,TraesCS2D01G536300,syntenic,TRUE
TraesCS6A01G080400,TraesCS6B01G107900,TraesCS6D01G073900,syntenic,TRUE
TraesCS3A01G472900,TraesCS3B01G516100,TraesCS3D01G468700,syntenic,TRUE
TraesCS5A01G074100,TraesCS5B01G080500,TraesCS5D01G087800,syntenic,TRUE
TraesCS5A01G308500,TraesCS5B01G308900,TraesCS5D01G315500,syntenic,TRUE
TraesCS3A01G082600,TraesCS3B01G097700,TraesCS3D01G083500,syntenic,FALSE
TraesCS2A01G246400,TraesCS2B01G270700,TraesCS2D01G248800,syntenic,TRUE
TraesCS4A01G201900,TraesCS4B01G106100,TraesCS4D01G102800,syntenic,TRUE
TraesCS4A01G216600,TraesCS4B01G094800,TraesCS4D01G091600,syntenic,TRUE
TraesCS5A01G517800,TraesCS4B01G349200,TraesCS4D01G343900,syntenic,TRUE
TraesCS1A01G273200,TraesCS1B01G283100,TraesCS1D01G273300,syntenic,TRUE
TraesCS3A01G301000,TraesCS3B01G335500,TraesCS3D01G300800,syntenic,TRUE
TraesCS3A01G397100,TraesCS3B01G429100,TraesCS3D01G391000,syntenic,TRUE
TraesCS1A01G090800,TraesCS1B01G118500,TraesCS1D01G099300,non-syntenic,TRUE
TraesCS3A01G145200,TraesCS3B01G172300,TraesCS3D01G154100,syntenic,TRUE
TraesCS3A01G447100,TraesCS3B01G482700,TraesCS3D01G439800,syntenic,FALSE
TraesCS7A01G272700,TraesCS7B01G170700,TraesCS7D01G272800,syntenic,TRUE
TraesCS7A01G148700,TraesCS7B01G052300,TraesCS7D01G150300,syntenic,TRUE
TraesCS1A01G043000,TraesCS1B01G056100,TraesCS1D01G043500,syntenic,TRUE
TraesCS6A01G039000,TraesCS6B01G053900,TraesCS6D01G044700,syntenic,FALSE
TraesCS3A01G533100,TraesCS3B01G595500,TraesCS3D01G538300,non-syntenic,TRUE
TraesCS3A01G095900,TraesCS3B01G111700,TraesCS3D01G096300,syntenic,TRUE
TraesCS5A01G378000,TraesCS5B01G381600,TraesCS5D01G388000,syntenic,TRUE
TraesCS6A01G267000,TraesCS6B01G294400,TraesCS6D01G247800,syntenic,TRUE
TraesCS5A01G471900,TraesCS5B01G484400,TraesCS5D01G484400,syntenic,TRUE
TraesCS7A01G379300,TraesCS7B01G281200,TraesCS7D01G376200,syntenic,TRUE
TraesCS3A01G399300,TraesCS3B01G432300,TraesCS3D01G393500,syntenic,TRUE
TraesCS2A01G263900,TraesCS2B01G278300,TraesCS2D01G260100,syntenic,TRUE
